index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
88,1.6045732498168945,9.0,25383.92551962102,2.2451298930049006,193.0570068359375,31.660640716552734,195.63589665251584,-0.0029130778275430202,0.0036443897988647223,6.0606966015090675,True
82,0.16156889498233795,12.0,28597.461242976766,-0.3707265159308841,599.0675048828125,-303.7054443359375,671.6538337014148,0.10697177052497864,-0.04157984256744385,2.861260910917151,False
94,1.6699961423873901,11.0,2433.643354482119,-0.41766088298825044,-525.2291259765625,-1137.296142578125,1252.720300265461,0.26266342401504517,-0.11656211316585541,1.9601815459134366,False
32,0.20335276424884796,12.0,2539.398723058571,0.10199803722075504,-860.523681640625,169.4939422607422,877.0571264903008,0.18337425589561462,0.018768947571516037,2.3925507956437206,False
120,0.8051846623420715,11.0,3673.6751140911965,-0.05137443574022662,435.5675354003906,-112.89813232421875,449.96118296700587,0.2699029743671417,-0.013878325000405312,2.019298953981015,False
234,0.22487711906433105,12.0,8147.522674687566,2.529617961927381,-898.5111694335938,1191.5616455078125,1492.361040982446,-0.22551797330379486,0.1582825481891632,2.000698663059241,False
65,2.2164149284362793,12.0,2833.459269893696,3.125640373954542,-843.4284057617188,65.20436096191406,845.945083521505,-0.4095425009727478,0.006533690728247166,1.6252595401633623,False
53,0.24691817164421082,12.0,18533.64472272545,0.20047550008456003,187.49769592285156,101.49658966064453,213.20634064004608,0.06627288460731506,0.013466989621520042,3.3880317547000787,False
105,0.1447322517633438,12.0,53310.05682982728,3.0771464984790726,-191.1573028564453,12.021971702575684,191.53496348961534,-0.03944975137710571,0.00254591042175889,3.9241870843282745,True
76,0.43174341320991516,12.0,4310.0833906051475,-3.1264806091030994,-594.2631225585938,-2.053755760192871,594.2666714075532,-0.26337355375289917,-0.003980415873229504,2.0441256035317266,False
